EmployeeID,Name,Age,Department,Salary,YearsAtCompany,PerformanceScore,Satisfaction,ProjectCount,RemoteWork,EmployeeCode,Company,ManagerEmail
1,Employee_1,56.0,HR,62786.851872425286,20,1,6.741116870976654,2.0,No,EMP-2824,TechCorp,manager69@techcorp.com
2,Employee_2,69.0,HR,69050.6978364267,27,1,,1.0,Yes,EMP-1409,TechCorp,
3,Employee_3,46.0,Sales,57328.403173895684,7,5,7.912048917818887,2.0,No,EMP-5506,TechCorp,
4,Employee_4,32.0,Finance,81717.32683735611,21,5,4.909253483270959,3.0,No,EMP-5012,TechCorp,
5,Employee_5,,Marketing,17981.622770961643,21,1,5.017977296168938,6.0,No,EMP-4657,TechCorp,
6,Employee_6,25.0,Engineering,118755.05694335548,0,3,6.568948693369045,2.0,Yes,EMP-3286,TechCorp,
7,Employee_7,38.0,Sales,42577.324719249664,3,5,,4.0,No,EMP-2679,TechCorp,
8,Employee_8,56.0,Sales,68067.80046708156,20,3,5.506398332530042,1.0,Yes,EMP-9935,TechCorp,manager326@techcorp.com
9,Employee_9,36.0,Engineering,41230.64179588303,27,1,6.803751005334819,0.0,No,EMP-2424,TechCorp,
10,Employee_10,40.0,Marketing,72885.36319018604,10,5,1.211792449726889,1.0,No,EMP-7912,TechCorp,
11,Employee_11,,Sales,65531.383051898556,-4,2,,3.0,Yes,EMP-1520,TechCorp,manager283@techcorp.com
12,Employee_12,,Sales,46985.72925309821,12,1,3.5104426846612906,3.0,No,EMP-1488,TechCorp,manager79@techcorp.com
13,Employee_13,41.0,Finance,81461.74690820626,24,4,2.1625700071879934,3.0,No,EMP-2535,TechCorp,
14,Employee_14,53.0,Marketing,56720.782407961575,16,3,1.8959186152789762,4.0,No,EMP-4582,TechCorp,manager91@techcorp.com
15,Employee_15,57.0,Sales,70944.31876114008,21,1,6.428729490532008,4.0,Yes,EMP-4811,TechCorp,manager43@techcorp.com
16,Employee_16,41.0,Marketing,41656.803896079284,21,1,5.712404924373505,3.0,No,EMP-9279,TechCorp,
17,Employee_17,20.0,Engineering,59382.2472885684,9,5,3.2822570529673225,4.0,No,EMP-1434,TechCorp,
18,Employee_18,39.0,HR,100068.1453436421,20,5,5.23855052895263,3.0,No,EMP-4257,TechCorp,manager389@techcorp.com
19,Employee_19,19.0,Sales,79259.3105822826,11,5,5.430090836641675,5.0,No,EMP-9928,TechCorp,
20,Employee_20,41.0,Finance,66152.41510902104,14,4,,4.0,No,EMP-7873,TechCorp,manager106@techcorp.com
