EmployeeID,Name,Age,Department,Salary,YearsAtCompany,PerformanceScore,Satisfaction,ProjectCount,RemoteWork,EmployeeCode,ManagerEmail
1,Employee_1,56.0,HR,62786.851872425286,20,1,6.741116870976654,2.0,No,EMP-2824,manager69@techcorp.com
8,Employee_8,56.0,Sales,68067.80046708156,20,3,5.506398332530042,1.0,Yes,EMP-9935,manager326@techcorp.com
11,Employee_11,44.0,Sales,65531.38305189856,-4,2,5.450690126083671,3.0,Yes,EMP-1520,manager283@techcorp.com
12,Employee_12,44.0,Sales,46985.72925309821,12,1,3.5104426846612906,3.0,No,EMP-1488,manager79@techcorp.com
14,Employee_14,53.0,Marketing,56720.782407961575,16,3,1.895918615278976,4.0,No,EMP-4582,manager91@techcorp.com
15,Employee_15,57.0,Sales,70944.31876114008,21,1,6.428729490532008,4.0,Yes,EMP-4811,manager43@techcorp.com
18,Employee_18,39.0,HR,100068.1453436421,20,5,5.23855052895263,3.0,No,EMP-4257,manager389@techcorp.com
20,Employee_20,41.0,Finance,66152.41510902104,14,4,5.450690126083671,4.0,No,EMP-7873,manager106@techcorp.com
21,Employee_21,61.0,Engineering,51021.58344780408,20,5,6.868837556934856,1.0,Yes,EMP-4611,manager294@techcorp.com
22,Employee_22,47.0,Marketing,61349.970717500175,9,1,5.450690126083671,1.0,Yes,EMP-8359,manager256@techcorp.com
24,Employee_24,19.0,Sales,68984.56869839491,12,2,6.422228476331096,2.0,No,EMP-1106,manager164@techcorp.com
25,Employee_25,44.0,Marketing,38466.78983644668,4,5,5.450690126083671,2.0,Yes,EMP-3615,manager284@techcorp.com
27,Employee_27,29.0,Engineering,110310.61752276553,23,2,3.5904816896644527,2.0,No,EMP-6574,manager134@techcorp.com
32,Employee_32,44.0,Engineering,54952.399130711005,13,3,9.006189564974429,5.0,No,EMP-2674,manager11@techcorp.com
36,Employee_36,32.0,Finance,67111.01259348706,2,3,1.0121164386090733,4.0,No,EMP-6881,manager383@techcorp.com
38,Employee_38,68.0,Sales,41325.554945195545,5,2,2.290558330098033,2.0,No,EMP-5333,manager159@techcorp.com
42,Employee_42,54.0,HR,72707.93864429794,19,3,3.9143761741218825,2.0,Yes,EMP-3045,manager165@techcorp.com
47,Employee_47,56.0,Sales,34439.54833127248,3,1,2.911005768582021,3.0,Yes,EMP-4150,manager400@techcorp.com
49,Employee_49,21.0,Sales,42296.73002000304,27,1,7.312449570037211,2.0,No,EMP-1750,manager351@techcorp.com
51,Employee_51,31.0,HR,28945.45864367925,5,3,9.972182967304198,3.0,Yes,EMP-5741,manager259@techcorp.com
55,Employee_55,19.0,Sales,63393.87584704039,27,5,2.137477801651004,0.0,No,EMP-7227,manager4@techcorp.com
56,Employee_56,37.0,Sales,45997.68253589983,15,2,1.250595168196721,3.0,No,EMP-5554,manager108@techcorp.com
58,Employee_58,44.0,Sales,90679.56241699134,16,3,8.260818074102135,5.0,No,EMP-6977,manager287@techcorp.com
64,Employee_64,31.0,Marketing,59601.292095083794,21,1,5.433391046996327,2.0,No,EMP-2169,manager301@techcorp.com
65,Employee_65,34.0,HR,36865.11549896102,20,5,6.700705662179144,3.0,No,EMP-3803,manager243@techcorp.com
72,Employee_72,59.0,Engineering,71509.3733498886,4,2,4.264782403592369,1.0,No,EMP-4598,manager203@techcorp.com
74,Employee_74,46.0,HR,67841.69059401739,6,3,8.558383169831394,6.0,Yes,EMP-1916,manager323@techcorp.com
76,Employee_76,43.0,Finance,71061.4655288096,24,1,5.450690126083671,1.0,Yes,EMP-1525,manager330@techcorp.com
79,Employee_79,27.0,Sales,42588.54767476488,25,1,8.664348873737971,2.0,Yes,EMP-5386,manager51@techcorp.com
80,Employee_80,53.0,Engineering,40314.55249414993,6,1,5.450690126083671,3.0,No,EMP-2084,manager70@techcorp.com
82,Employee_82,44.0,Sales,47651.06775081804,24,1,8.062927136424893,1.0,Yes,EMP-6155,manager305@techcorp.com
85,Employee_85,44.0,Engineering,90290.35125179162,15,3,3.770977438146245,1.0,No,EMP-7482,manager211@techcorp.com
87,Employee_87,40.0,Engineering,47933.52869556575,10,5,6.530371997604681,2.0,Yes,EMP-3340,manager325@techcorp.com
95,Employee_95,43.0,Sales,63209.52413997692,8,5,5.450690126083671,3.0,Yes,EMP-6930,manager392@techcorp.com
100,Employee_100,44.0,Engineering,61273.76787303232,24,3,5.450690126083671,3.0,No,EMP-2489,manager333@techcorp.com
102,Employee_102,18.0,HR,62784.30817289806,-4,5,8.320910340918378,2.0,Yes,EMP-2796,manager100@techcorp.com
